review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
this the very use helpfully and simple,5,2025-07-30 10:54:55,Google Play,POSITIVE,0.9967437982559204,[],joy,{},review
dont use the UMANG app.not give coustomer service and not claim PF amount only show the under prosses 😡😔,1,2025-07-30 10:49:26,Google Play,NEGATIVE,-0.9964430928230286,"['the umang', 'coustomer service', 'pf amount', 'prosses']",neutral,"{'the umang': 'Neutral', 'coustomer service': 'Negative', 'pf amount': 'Negative', 'prosses': 'Negative'}",review
good,5,2025-07-30 10:35:13,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
nice,5,2025-07-30 10:24:36,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
nice,5,2025-07-30 09:15:58,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
Problem Occurs While Login !,2,2025-07-30 08:35:55,Google Play,NEGATIVE,-0.9990587830543518,['problem'],neutral,{'problem': 'Negative'},bug_report
best application ever. direct compitition to IRCTC. thodi or error aaskti h to thik rhega,5,2025-07-30 08:31:15,Google Play,POSITIVE,0.9887650012969971,"['best application', 'direct compitition', 'irctc', 'thodi', 'error aaskti', 'thik rhega']",neutral,"{'best application': 'Positive', 'direct compitition': 'Positive', 'irctc': 'Neutral', 'thodi': 'Positive', 'error aaskti': 'Neutral', 'thik rhega': 'Neutral'}",bug_report
"It's such a useless app, what should I say, whenever I look at it, there is some problem or the other, all my PF money is stuck, UAN is not getting activated, and by chance it is also happening, it won't open on this device.",1,2025-07-30 04:30:29,Google Play,NEGATIVE,-0.9997435212135315,"['such a useless app', 'some problem', 'all my pf money', 'uan', 'chance', 'this device']",disgust,"{'such a useless app': 'Negative', 'some problem': 'Negative', 'all my pf money': 'Negative', 'uan': 'Negative', 'chance': 'Negative', 'this device': 'Neutral'}",bug_report
nice app,5,2025-07-30 01:42:57,Google Play,POSITIVE,0.9998061060905457,['nice app'],neutral,{'nice app': 'Positive'},review
ab ye app bahut hi bekar ho gya hai,1,2025-07-30 01:29:15,Google Play,POSITIVE,0.9568303227424622,['ab ye app'],neutral,{'ab ye app': 'Positive'},review
very nice,5,2025-07-30 00:31:24,Google Play,POSITIVE,0.9998563528060913,[],joy,{},review
goog,5,2025-07-30 00:20:22,Google Play,NEGATIVE,-0.9989757537841797,['goog'],neutral,{'goog': 'Neutral'},review
Thank you I'm able to access them now,5,2025-07-29 23:10:58,Google Play,POSITIVE,0.9998281002044678,[],neutral,{},review
very nice app already clear,5,2025-07-29 22:25:51,Google Play,POSITIVE,0.9998258948326111,['very nice app'],joy,{'very nice app': 'Positive'},review
nice 👍,5,2025-07-29 22:16:19,Google Play,POSITIVE,0.9998424053192139,[],neutral,{},review
nice,5,2025-07-29 22:12:03,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
good,5,2025-07-29 21:41:13,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good experience,5,2025-07-29 21:32:26,Google Play,POSITIVE,0.9998599290847778,['good experience'],joy,{'good experience': 'Positive'},review
excellent,5,2025-07-29 20:57:17,Google Play,POSITIVE,0.9998434782028198,[],joy,{},review
Best usefull app,4,2025-07-29 20:31:06,Google Play,POSITIVE,0.9983670115470886,['best usefull app'],neutral,{'best usefull app': 'Positive'},review
sarver is bad..,3,2025-07-29 20:26:41,Google Play,NEGATIVE,-0.9998112320899963,[],disgust,{},review
nice,5,2025-07-29 20:11:37,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
very bad app doesn't work,1,2025-07-29 20:06:54,Google Play,NEGATIVE,-0.9997734427452087,['very bad app'],sadness,{'very bad app': 'Negative'},review
usefull app,5,2025-07-29 19:57:38,Google Play,POSITIVE,0.9953721165657043,['usefull app'],neutral,{'usefull app': 'Positive'},review
very good,4,2025-07-29 18:52:22,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
aap nahi chale rahe hai,5,2025-07-29 17:57:22,Google Play,NEGATIVE,-0.5064538717269897,['aap nahi chale rahe hai'],neutral,{'aap nahi chale rahe hai': 'Positive'},review
best 👌 👍,5,2025-07-29 17:38:55,Google Play,POSITIVE,0.9994170665740967,[],neutral,{},review
jun21 month to still not open. after bug fixed still same error,1,2025-07-29 17:20:03,Google Play,NEGATIVE,-0.997403085231781,"['jun21', 'month', 'bug', 'still same error']",sadness,"{'jun21': 'Negative', 'month': 'Negative', 'bug': 'Negative', 'still same error': 'Negative'}",bug_report
so nice,5,2025-07-29 17:15:01,Google Play,POSITIVE,0.9998610019683838,[],joy,{},review
Good but phone number of EPFO department is not working,5,2025-07-29 16:39:04,Google Play,NEGATIVE,-0.9989939332008362,"['good but phone number', 'epfo department']",sadness,"{'good but phone number': 'Negative', 'epfo department': 'Negative'}",bug_report
good,4,2025-07-29 16:36:26,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
wonderful,5,2025-07-29 16:14:27,Google Play,POSITIVE,0.9998772144317627,[],surprise,{},review
good,4,2025-07-29 14:55:31,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
"epf stuff dosent work anymore, gives error",1,2025-07-29 13:49:57,Google Play,NEGATIVE,-0.9981701374053955,"['stuff dosent work', 'error']",sadness,"{'stuff dosent work': 'Negative', 'error': 'Negative'}",bug_report
Excellent,5,2025-07-29 13:46:47,Google Play,POSITIVE,0.9998434782028198,[],neutral,{},review
"I'm already a registered member and facing problem with login with OTP, receiving OTP but login button isn't working, kindly help me on priority",4,2025-07-29 13:20:55,Google Play,NEGATIVE,-0.9980776309967041,"['a registered member', 'problem', 'login', 'otp', 'login button', 'priority']",neutral,"{'a registered member': 'Neutral', 'problem': 'Negative', 'login': 'Negative', 'otp': 'Negative', 'login button': 'Negative', 'priority': 'Neutral'}",bug_report
not working properly,1,2025-07-29 11:17:25,Google Play,NEGATIVE,-0.9997847676277161,[],sadness,{},bug_report
The app is not working I try to check my Pf but it keeps showing an error even after uninstalling and reinstalling the app is not working.,2,2025-07-29 11:13:23,Google Play,NEGATIVE,-0.9990818500518799,"['the app', 'my pf', 'an error', 'the app']",sadness,"{'the app': 'Negative', 'my pf': 'Neutral', 'an error': 'Negative'}",bug_report
please 🙏,5,2025-07-29 10:32:48,Google Play,POSITIVE,0.99272221326828,[],neutral,{},review
Waste application,1,2025-07-29 10:01:50,Google Play,NEGATIVE,-0.9992254972457886,['waste application'],neutral,{'waste application': 'Negative'},review
good,5,2025-07-29 09:50:52,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good,5,2025-07-29 09:29:26,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
gud app,5,2025-07-29 08:58:20,Google Play,NEGATIVE,-0.8989125490188599,['gud app'],sadness,{'gud app': 'Positive'},review
ok,5,2025-07-29 08:45:31,Google Play,POSITIVE,0.9997851252555847,[],neutral,{},review
very good,5,2025-07-29 08:28:49,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
Good,5,2025-07-29 07:27:27,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
"why do you create a good application. this app is called umang, change to (TIFAT) technical issues for all time",1,2025-07-29 04:50:10,Google Play,POSITIVE,0.6132912635803223,"['a good application', 'this app', 'umang', 'tifat) technical issues', 'all time']",surprise,"{'a good application': 'Negative', 'this app': 'Negative', 'umang': 'Negative', 'tifat) technical issues': 'Neutral', 'all time': 'Negative'}",bug_report
this app is really the worst I downloaded it to see my EPFO claim and passbook but it's not working since I downloaded this app,1,2025-07-29 03:37:34,Google Play,NEGATIVE,-0.9997814297676086,"['this app', 'my epfo claim', 'passbook', 'this app']",disgust,"{'this app': 'Negative', 'my epfo claim': 'Negative', 'passbook': 'Negative'}",bug_report
Mera Umang chalu nahin ho raha hai,5,2025-07-29 02:24:11,Google Play,NEGATIVE,-0.9742844700813293,"['mera umang', 'nahin ho raha hai']",neutral,"{'mera umang': 'Negative', 'nahin ho raha hai': 'Negative'}",review
"like all govt employees, this also doesn't work.",1,2025-07-29 01:54:14,Google Play,NEGATIVE,-0.9997103810310364,['all govt employees'],neutral,{'all govt employees': 'Negative'},review
very bad this app sucks,2,2025-07-29 01:38:56,Google Play,NEGATIVE,-0.9998069405555725,['this app'],disgust,{'this app': 'Negative'},review
what a worst app by indian government. neither application is working properly. nothing but a wastage of time. the application rating does not support below 1 star.,1,2025-07-29 00:27:54,Google Play,NEGATIVE,-0.9998107552528381,"['what a worst app', 'indian government', 'neither application', 'a wastage', 'time', 'the application rating', '1 star']",sadness,"{'what a worst app': 'Negative', 'indian government': 'Negative', 'neither application': 'Negative', 'a wastage': 'Negative', 'time': 'Negative', 'the application rating': 'Negative', '1 star': 'Negative'}",review
it's better experience to use the UMANG APP .you can easily get results of government scheme 🤔,4,2025-07-29 00:12:16,Google Play,NEGATIVE,-0.9668816328048706,"['better experience', 'the umang app', '.you', 'results', 'government scheme']",neutral,"{'better experience': 'Positive', 'the umang app': 'Positive', '.you': 'Positive', 'results': 'Neutral', 'government scheme': 'Neutral'}",review
The application is experiencing functionality issues.,2,2025-07-28 23:44:44,Google Play,NEGATIVE,-0.9993228912353516,"['the application', 'functionality issues']",sadness,"{'the application': 'Negative', 'functionality issues': 'Negative'}",bug_report
"Don't know why this app doesn't work on most of the mobiles, including my lava android 12. this is happening after confirmation from Devs that they have checked and it is fine at their end.",1,2025-07-28 22:09:39,Google Play,POSITIVE,0.994666576385498,"['this app', 'the mobiles', 'my lava', 'confirmation', 'devs', 'their end']",neutral,"{'this app': 'Negative', 'the mobiles': 'Negative', 'my lava': 'Neutral', 'confirmation': 'Negative', 'devs': 'Negative', 'their end': 'Negative'}",review
Best App,5,2025-07-28 22:04:31,Google Play,POSITIVE,0.999686598777771,['best app'],neutral,{'best app': 'Positive'},review
No good not open app,1,2025-07-28 21:41:23,Google Play,NEGATIVE,-0.9988784193992615,['no good not open app'],sadness,{'no good not open app': 'Negative'},review
worst experience using this app. for the last 15 days I'm trying to login my UAN account for epf details but unable to do so. while I can easily login via the chrome. third class app.,1,2025-07-28 21:34:45,Google Play,NEGATIVE,-0.9997016787528992,"['worst experience', 'this app', 'the last 15 days', 'my uan account', 'epf details', 'the chrome', 'third class app']",sadness,"{'worst experience': 'Negative', 'this app': 'Negative', 'the last 15 days': 'Negative', 'my uan account': 'Negative', 'epf details': 'Negative', 'the chrome': 'Negative', 'third class app': 'Negative'}",review
faltu app h government Ka sara Paisa barbad kar rahe ho,1,2025-07-28 21:26:58,Google Play,NEGATIVE,-0.981508195400238,"['app h government', 'kar rahe ho']",neutral,"{'app h government': 'Negative', 'kar rahe ho': 'Neutral'}",review
good work 👍,5,2025-07-28 21:26:24,Google Play,POSITIVE,0.9998606443405151,['good work'],neutral,{'good work': 'Positive'},review
very good application,1,2025-07-28 21:26:16,Google Play,POSITIVE,0.9998687505722046,['very good application'],joy,{'very good application': 'Positive'},review
"This is a very good app, you get all the facilities in it, thank you umang",5,2025-07-28 21:24:34,Google Play,POSITIVE,0.9998468160629272,"['a very good app', 'all the facilities']",joy,"{'a very good app': 'Positive', 'all the facilities': 'Positive'}",review
Very nice app,5,2025-07-28 20:18:14,Google Play,POSITIVE,0.9998562335968018,['very nice app'],joy,{'very nice app': 'Positive'},review
goverment app is very sefty and nice apps,5,2025-07-28 19:49:57,Google Play,POSITIVE,0.9997664093971252,"['goverment app', 'very sefty and nice apps']",joy,"{'goverment app': 'Positive', 'very sefty and nice apps': 'Neutral'}",review
"Since few days it couldn't connect to digilocker site when clicked on documents it reads your digilocker account is not linked, when I click on digilocker sart now option it reads your digilocker account is already linked with umang but umang app does not reflect my documents",3,2025-07-28 19:41:05,Google Play,NEGATIVE,-0.9989585876464844,"['few days', 'site', 'documents', 'your digilocker account', 'digilocker sart', 'option', 'your digilocker account', 'umang', 'umang app', 'my documents']",neutral,"{'few days': 'Negative', 'site': 'Negative', 'documents': 'Negative', 'your digilocker account': 'Negative', 'digilocker sart': 'Negative', 'option': 'Negative', 'umang': 'Negative', 'umang app': 'Negative', 'my documents': 'Negative'}",review
very good app,5,2025-07-28 19:39:36,Google Play,POSITIVE,0.9998675584793091,['very good app'],joy,{'very good app': 'Positive'},review
good,5,2025-07-28 18:37:43,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good,5,2025-07-28 18:35:46,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
actually we can't upload cheque while withdrawal of epfo so they are rejecting,1,2025-07-28 18:13:19,Google Play,NEGATIVE,-0.9958518743515015,"['cheque', 'withdrawal', 'epfo']",neutral,"{'cheque': 'Negative', 'withdrawal': 'Negative', 'epfo': 'Negative'}",review
Its server is very bad. I can watch 1440p movies online but it takes a lot of time to open one page. 👎👎👎👎👎,1,2025-07-28 18:08:13,Google Play,NEGATIVE,-0.998534083366394,"['its server', '1440p movies', 'a lot', 'time', 'one page', '👎👎👎👎👎']",disgust,"{'its server': 'Negative', '1440p movies': 'Neutral', 'a lot': 'Negative', 'time': 'Negative', 'one page': 'Negative', '👎👎👎👎👎': 'Negative'}",review
bahut achcha app ♥️♥️🙏♥️♥️,5,2025-07-28 17:47:14,Google Play,NEGATIVE,-0.9370146989822388,"['bahut achcha app', '♥️♥️🙏♥️♥']",joy,"{'bahut achcha app': 'Positive', '♥️♥️🙏♥️♥': 'Positive'}",review
excellent,5,2025-07-28 17:36:44,Google Play,POSITIVE,0.9998434782028198,[],joy,{},review
very good,5,2025-07-28 17:24:10,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
nice,5,2025-07-28 17:23:32,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
Very Good,5,2025-07-28 17:11:43,Google Play,POSITIVE,0.9998520612716675,[],neutral,{},review
useless app,1,2025-07-28 17:08:07,Google Play,NEGATIVE,-0.9997797608375549,['useless app'],anger,{'useless app': 'Negative'},review
"Very Nice App, So Many Time's Useful To Me & My Colleagues. Still Using This App, Previous Using Mobile Was Gone, This Mobile Was Supporting This App.",4,2025-07-28 16:27:02,Google Play,POSITIVE,0.9818534255027771,"['very nice app', 'so many time', 'my colleagues', 'this app', 'previous using mobile', 'this mobile', 'this app']",joy,"{'very nice app': 'Positive', 'so many time': 'Positive', 'my colleagues': 'Positive', 'this app': 'Positive', 'previous using mobile': 'Negative', 'this mobile': 'Positive'}",review
bad service,1,2025-07-28 16:15:38,Google Play,NEGATIVE,-0.9997195601463318,['bad service'],sadness,{'bad service': 'Negative'},review
nice,5,2025-07-28 16:08:01,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
super,5,2025-07-28 15:35:50,Google Play,POSITIVE,0.998783528804779,['super'],neutral,{'super': 'Positive'},review
very good app,1,2025-07-28 15:32:57,Google Play,POSITIVE,0.9998675584793091,['very good app'],joy,{'very good app': 'Positive'},review
very nice,5,2025-07-28 14:49:48,Google Play,POSITIVE,0.9998563528060913,[],joy,{},review
good,3,2025-07-28 14:37:27,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
Worst app,1,2025-07-28 14:25:16,Google Play,NEGATIVE,-0.9997863173484802,['worst app'],disgust,{'worst app': 'Negative'},review
It is of no use it is a third class app,1,2025-07-28 14:23:28,Google Play,NEGATIVE,-0.9996293783187866,"['no use', 'a third class app']",neutral,"{'no use': 'Negative', 'a third class app': 'Negative'}",review
good,5,2025-07-28 14:12:07,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
nice apps,4,2025-07-28 13:15:56,Google Play,POSITIVE,0.999850869178772,['nice apps'],joy,{'nice apps': 'Positive'},review
pf ka option kaam nahin kar Raha hai.,2,2025-07-28 13:09:21,Google Play,NEGATIVE,-0.9791250824928284,['pf ka option kaam nahin kar raha hai'],neutral,{'pf ka option kaam nahin kar raha hai': 'Negative'},review
"useless app still i cant view my passbook and it doesn't show the withdrawals, i cant take my money, that one star I gave bcoz then only then I can see the post option , minus 200 star, I called 28 july 2025, 10505 told the pass book download error happens, I asked her this happens to u , she said yes....",1,2025-07-28 13:07:38,Google Play,NEGATIVE,-0.9986656904220581,"['useless app', 'my passbook', 'the withdrawals', 'my money', 'bcoz', 'the post option', '200 star', 'the pass book download error']",sadness,"{'useless app': 'Negative', 'my passbook': 'Negative', 'the withdrawals': 'Neutral', 'my money': 'Neutral', 'bcoz': 'Negative', 'the post option': 'Negative', '200 star': 'Negative', 'the pass book download error': 'Negative'}",bug_report
very good,5,2025-07-28 12:52:41,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
